id,edo,mes,anio,mpio,hora,minutos,dia,diasemana,urbana,suburbana,tipaccid,automovil,campasaj,microbus,pascamion,omnibus,tranvia,camioneta,camion,tractor,ferrocarri,motociclet,bicicleta,otrovehic,causaacci,caparod,sexo,aliento,cinturon,edad,condmuerto,condherido,pasamuerto,pasaherido,peatmuerto,peatherido,ciclmuerto,ciclherido,otromuerto,otroherido,totmuertos,totheridos,clase,calle1,calle2,carretera,longitud,latitud,fechahora,severidad,hay_muertos,hay_heridos,solo_daños_materiales,severidad_cat,franja_horaria
1045991-703-100343207,9,1,2022,2,6,52,1,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,9,40,0,0,0,0,0,0,0,0,0,0,0,0,3,AQUILES SERDÁN,PUENTE DE GUERRA,NAN,-99.1992566,19.49623442,2022-01-01 06:52:00,0,False,False,True,leve,Mañana
1045991-703-100343208,9,1,2022,2,9,0,2,7,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,9,34,0,0,0,0,0,0,0,0,0,0,0,0,3,AQUILES SERDÁN,16 DE SEPTIEMBRE,NAN,-99.19464778,19.49009096,2022-01-02 09:00:00,0,False,False,True,leve,Mañana
1045991-703-100343209,9,1,2022,2,16,46,2,7,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,9,31,0,0,1,0,0,0,0,0,0,0,1,0,1,EGIPTO,EJE 3 NORTE AVENIDA CUITLÁHUAC,NAN,-99.17782546,19.46206748,2022-01-02 16:46:00,10,True,False,False,muy grave,Tarde
1045991-703-100343210,9,1,2022,2,10,10,8,6,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,6,9,32,0,1,0,0,0,0,0,0,0,0,0,1,2,COLIMA,EJE 3 PONIENTE SALAMANCA,NAN,-99.16922657,19.41776455,2022-01-08 10:10:00,3,False,True,False,moderada,Mañana
1045991-703-100343211,9,1,2022,2,17,26,10,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,9,56,0,0,0,0,0,0,0,0,0,0,0,0,3,ASPIROS,EJE 3 NORTE CALZADA CAMARONES,NAN,-99.18344388,19.47640423,2022-01-10 17:26:00,0,False,False,True,leve,Tarde
1045991-703-100343212,9,1,2022,2,6,12,15,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,9,44,0,1,1,0,0,0,0,0,0,0,1,1,1,CALZADA COLTONGO,EJE 1 PONIENTE CALZADA VALLEJO,NAN,-99.14830991,19.47910765,2022-01-15 06:12:00,13,True,True,False,muy grave,Mañana
1045991-703-100343216,9,1,2022,2,6,58,18,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,9,45,0,0,0,0,0,0,0,0,0,0,0,0,3,3 NORTE (CUITLÁHUAC),EJE 1 PONIENTE CALZADA VALLEJO,NAN,-99.1460529,19.47312756,2022-01-18 06:58:00,0,False,False,True,leve,Mañana
1045991-703-100343218,9,1,2022,2,11,31,23,7,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,9,45,0,0,0,0,0,0,0,0,0,0,0,0,3,3 NORTE (TOCHTLI),TEZOZÓMOC,NAN,-99.19865115,19.48004938,2022-01-23 11:31:00,0,False,False,True,leve,Mañana
1045991-703-100343220,9,1,2022,2,11,15,26,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,9,64,0,0,0,0,0,0,0,0,0,0,0,0,3,3 NORTE (CALZADA CAMARONES),AQUILES ELORDUY,NAN,-99.1812646,19.47365886,2022-01-26 11:15:00,0,False,False,True,leve,Mañana
1045991-703-100343222,9,1,2022,2,15,27,26,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,9,40,0,0,0,0,0,0,0,0,0,0,0,0,3,RANCHO ESMERALDA,HACIENDA SOTELO,NAN,-99.20538878,19.50153895,2022-01-26 15:27:00,0,False,False,True,leve,Tarde
1045991-703-100343226,9,1,2022,2,2,41,30,7,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,7,23,0,0,0,0,0,0,0,0,0,0,0,0,3,3 NORTE (CUITLÁHUAC),TORONJA,NAN,-99.17195363,19.46962748,2022-01-30 02:41:00,0,False,False,True,leve,Madrugada
